"";"sensor_id";"lat";"lon"
"1";"277";52,54;13,386
"2";"283";52,517;13,425
"3";"319";52,511;13,411
"4";"327";52,533;13,35
"5";"719";52,48;13,442
"6";"781";52,569;13,401
"7";"828";52,559;13,188
"8";"1376";52,502;13,488
"9";"1412";52,525;13,408
"10";"1444";52,496;13,338
"11";"1465";52,425;13,538
"12";"1847";52,449;13,357
"13";"2015";52,505;13,418
"14";"2053";52,543;13,44
"15";"2055";52,56;13,374
"16";"2057";52,494;13,429
"17";"2067";52,502;13,354
"18";"2079";52,522;13,345
"19";"2105";52,548;13,408
"20";"2109";52,532;13,399
"21";"2111";52,538;13,4
"22";"2115";52,556;13,394
"23";"2119";52,54;13,42
"24";"2123";52,46;13,527
"25";"2125";52,511;13,424
"26";"2129";52,544;13,375
"27";"2285";52,512;13,449
"28";"2287";52,46;13,437
"29";"2518";52,555;13,34
"30";"2528";52,5;13,334
"31";"2668";52,455;13,323
"32";"2806";52,529;13,379
"33";"2810";52,439;13,505
"34";"2848";52,447;13,434
"35";"2874";52,6;13,327
"36";"3036";52,551;13,408
"37";"3099";52,745;13,474
"38";"3103";52,438;13,228
"39";"3123";52,511;13,393
"40";"3223";52,511;13,271
"41";"3239";52,54;13,423
"42";"3267";52,451;13,326
"43";"3287";52,437;13,502
"44";"3355";52,486;13,375
"45";"3491";52,479;13,422
"46";"3755";52,526;13,361
"47";"3763";52,493;13,411
"48";"3827";52,491;13,434
"49";"3851";52,295;13,42
"50";"3937";52,498;13,469
"51";"3943";52,547;13,427
"52";"4076";52,545;13,418
"53";"4337";52,533;13,435
"54";"4440";52,517;13,443
"55";"4756";52,578;13,425
"56";"4806";52,483;13,432
"57";"4841";52,526;13,326
"58";"4915";52,427;13,249
"59";"4961";52,467;13,342
"60";"5018";52,526;13,308
"61";"5026";52,481;13,353
"62";"5040";52,568;13,365
"63";"5149";52,467;13,436
"64";"5231";52,557;13,495
"65";"5247";52,42;13,58
"66";"5251";52,507;13,32
"67";"5463";52,486;13,386
"68";"5666";52,501;13,408
"69";"5672";52,474;13,325
